,gene_name,Accuracy,Mutation_frequency
0,PIK3CA,0.6904761904761905,0.2919633774160733
1,TP53,0.6785714285714286,0.2594099694811801
2,NCOR1,0.9345238095238095,0.03763987792472025
3,FAT3,0.9285714285714286,0.03153611393692777
4,PTEN,0.9345238095238095,0.030518819938962362
5,AKT1,0.9642857142857143,0.02441505595116989
6,NF1,0.9642857142857143,0.024415055951169887
7,ERBB2,0.9523809523809523,0.02339776195320448
8,DCHS2,0.9464285714285714,0.02136317395727365
9,FAT1,0.9880952380952381,0.02136317395727365
